producto,origen,fecha,cantidad (KG),precio (DOLARES),proveedor_id
Herb Du Provence - Primerba,Poland,5/8/2020,348,8825,1264
Cheese - Swiss Sliced,Vietnam,12/12/2005,,21961,1428
Pork - Suckling Pig,Saint Kitts and Nevis,14/6/2004,100,1995,1229
Veal Inside - Provimi,Germany,29/10/2005,285,6242,1486
Wine - Clavet Saint Emilion,Tunisia,16/7/2002,159,4488,1123
Steam Pan Full Lid,South Korea,7/9/2004,450,8296,1477
"Coke - Classic, 355 Ml",Mauritius,15/3/2018,320,6396,1319
Island Oasis - Strawberry,Saudi Arabia,22/10/2019,228,5220,1153
Apricots - Halves,Indonesia,23/7/2003,342,6213,1395
Mace Ground,Latvia,17/12/2016,320,3168,1409
"Pork - Bacon,back Peameal",Poland,16/9/2006,248,5887,1381
"Pail - 4l White, With Handle",Sweden,23/6/2016,218,6211,1071
"Beef - Rib Roast, Cap On",Sweden,29/11/2014,18,418,1312
Chicken - Livers,Mongolia,5/6/2018,335,5523,1456
Puff Pastry - Slab,Syria,4/7/2005,181,3364,1379
"Nut - Pistachio, Shelled",Brazil,7/1/2018,166,3816,1087
Soup - Campbells - Chicken Noodle,Greece,29/9/2006,-86,18766,1253
Goldschalger,Brazil,19/2/2006,157,2054,1368
"Pepsi, 355 Ml",Argentina,25/10/2002,124,1586,1285
Bacardi Breezer - Strawberry,China,15/7/2007,405,10484,1178
Crab - Meat,Nepal,25/5/2019,267,2735,1388
Bread - Dark Rye,Bulgaria,9/10/2007,138,2342,1480
The Pop Shoppe - Cream Soda,Malta,22/3/2002,139,3941,1246
Easy Off Oven Cleaner,China,22/3/2003,263,5538,1352
Wakami Seaweed,China,23/12/2005,83,1114,1084
"Bread - Roll, Whole Wheat",Burundi,2/8/2019,185,4660,1402
Country Roll,Egypt,28/4/2014,33,414,1073
Apron,Afghanistan,20/3/2002,385,2043,1499
Tea - Lemon Scented,Thailand,16/10/2019,127,2452,1223
"Pasta - Lasagne, Fresh",China,10/1/2012,234,5079,1202
Wine - Semi Dry Riesling Vineland,Venezuela,13/12/2017,186,6024,1463
Table Cloth 120 Round White,Pakistan,11/3/2001,296,8391,1052
"Lamb - Whole, Fresh",Costa Rica,18/1/2003,130,2684,1178
"Cheese - Havarti, Roasted Garlic",Sweden,28/9/2008,280,9516,1090
Wine - Touraine Azay - Le - Rideau,Japan,7/12/2013,,34550,1033
Dr. Pepper - 355ml,Japan,6/4/2010,278,4583,1127
Lamb Rack Frenched Australian,Thailand,15/4/2018,324,8870,1012
Sauce - Marinara,Nicaragua,10/9/2019,154,2287,1417
"Flour - Buckwheat, Dark",Nigeria,20/5/2002,433,10467,1438
Fruit Mix - Light,China,13/10/2007,157,2603,1206
Tea - Jasmin Green,Croatia,12/10/2010,348,5807,1069
"Jam - Marmalade, Orange",Madagascar,11/9/2007,125,3149,1373
"Octopus - Baby, Cleaned",Ukraine,24/11/2016,375,9417,1471
"Cheese - Manchego, Spanish",France,1/7/2013,193,5391,1347
Container - Clear 16 Oz,Brazil,7/8/2010,580,12462,1108
Sauce - Ranch Dressing,Poland,27/1/2003,290,6287,1302
Duck - Whole,Latvia,13/1/2017,309,3522,1440
"Beef - Rib Roast, Cap On",Philippines,7/11/2019,446,10089,1054
Loquat,China,15/3/2009,151,994,1024
Initation Crab Meat,France,15/7/2017,190,3752,1268
Strawberries - California,Poland,12/1/2011,251,6619,1204
Five Alive Citrus,China,1/12/2007,227,4203,1261
Syrup - Pancake,Israel,7/5/2002,217,3169,1025
Swordfish Loin Portions,Serbia,7/11/2017,241,5633,1458
"Wine - White, Mosel Gold",Russia,27/4/2019,75,1965,1266
Pork - Side Ribs,China,19/7/2014,286,4748,1402
Bacardi Breezer - Tropical,Indonesia,2/12/2019,75,2047,1111
Potatoes - Idaho 80 Count,France,16/5/2012,613,16825,1161
Parsley - Dried,Cuba,20/3/2019,187,2820,1140
Aspic - Light,China,31/3/2016,270,3201,1393
"Artichoke - Bottom, Canned",Canada,8/1/2010,325,9061,1066
Coffee Cup 12oz 5342cd,United Kingdom,13/5/2015,401,8640,1009
Stock - Fish,China,13/1/2017,502,6590,1214
Curry Powder,Sweden,26/5/2005,107,1297,1456
Lobster - Base,China,27/7/2003,129,1823,1365
Water - Spring Water 500ml,Indonesia,24/12/2006,180,4263,1295
"Chocolate - Milk, Callets",Philippines,31/7/2004,120,3000,1182
Beef - Flank Steak,Portugal,3/11/2010,471,8212,1407
Food Colouring - Blue,Czech Republic,9/7/2017,161,3660,1313
Pork - Back Ribs,Indonesia,22/7/2012,237,3955,1472
Pork - Hock And Feet Attached,Russia,21/4/2005,-81,15147,1002
Cookie Dough - Chunky,Sweden,17/4/2002,193,4289,1475
Sauce - Hoisin,Indonesia,9/5/2015,336,4385,1150
"Nut - Pecan, Pieces",Indonesia,16/9/2017,16,274,1001
Oil - Canola,China,29/5/2016,153,2012,1061
Sugar - Crumb,Indonesia,18/1/2018,20,252,1423
"Juice - Tomato, 10 Oz",China,3/2/2007,340,6790,1023
Peas Snow,El Salvador,6/7/2008,40,385,1392
Soup V8 Roasted Red Pepper,Vietnam,14/12/2019,168,4575,1274
Cheese - Goat With Herbs,Albania,13/11/2013,272,6246,1126
Table Cloth 81x81 White,Nigeria,2/4/2013,188,4564,1149
Pepper - Green,New Zealand,29/12/2007,-102,4481,1007
Grenadine,United States,5/4/2019,392,3798,1367
Sword Pick Asst,Sweden,3/2/2020,258,3733,1358
Wine - Cabernet Sauvignon,Luxembourg,8/6/2011,242,6539,1456
Oil - Margarine,China,2/6/2003,252,4098,1462
Table Cloth 62x114 White,Belarus,21/8/2016,152,3691,1269
"Orange - Canned, Mandarin",Thailand,12/2/2006,483,11030,1188
"Beef - Tenderlion, Center Cut",China,16/9/2014,262,8123,1364
Bacardi Mojito,Canada,17/3/2018,247,3114,1121
Blackberries,Norway,2/3/2002,177,1958,1081
Melon - Honey Dew,Netherlands,23/5/2018,94,1477,1498
Kellogs Special K Cereal,Poland,25/5/2017,281,6339,1366
V8 - Berry Blend,China,7/1/2016,224,3503,1413
Cut Wakame - Hanawakaba,Philippines,20/5/2015,369,8097,1229
Longan,China,29/5/2005,335,2053,1192
Cheese - Ermite Bleu,United States,16/8/2012,170,3253,1385
"Wine - Mas Chicet Rose, Vintage",Philippines,12/12/2016,322,9241,1319
Wine - Two Oceans Cabernet,Japan,8/9/2015,191,4627,1469
Lobster - Live,China,2/2/2003,27,352,1206
Dried Cherries,China,12/9/2002,395,5383,1122
"Pepper - Black, Whole",Indonesia,21/10/2008,334,7547,1205
Potatoes - Parissienne,Morocco,31/10/2010,179,3825,1263
Cheese - La Sauvagine,Ukraine,13/5/2015,275,5946,1108
Muffin Batt - Ban Dream Zero,Argentina,6/12/2013,271,7306,1128
"Nut - Cashews, Whole, Raw",Seychelles,10/11/2011,324,8808,1183
Bandage - Finger Cots,Mongolia,27/8/2004,357,7514,1129
Oil - Cooking Spray,China,24/4/2009,203,3768,1260
Pear - Asian,Poland,26/3/2016,392,4447,1444
"Club Soda - Schweppes, 355 Ml",Indonesia,7/12/2016,291,8787,1479
"Flour - Corn, Fine",China,26/7/2013,333,5981,1179
"Chicken - Thigh, Bone In",Laos,29/11/2017,,22160,1322
Table Cloth 90x90 Colour,Greece,26/2/2010,165,4052,1499
Parasol Pick Stir Stick,Cuba,12/12/2012,385,9323,1231
Venison - Ground,Indonesia,31/8/2018,275,4237,1130
"Beans - Kidney, Canned",Poland,21/6/2006,,7177,1097
Snapple Raspberry Tea,Brazil,14/4/2001,213,4672,1155
Bread - Multigrain,Norway,3/9/2018,365,6436,1431
Gloves - Goldtouch Disposable,Venezuela,13/9/2007,-30,4358,1365
Banana,Russia,10/9/2002,296,1780,1047
Bread - 10 Grain Parisian,Honduras,12/6/2019,381,8742,1297
Beer - Camerons Cream Ale,Indonesia,18/12/2008,83,2084,1106
Appetizer - Smoked Salmon / Dill,Czech Republic,15/7/2008,326,10916,1101
Muffin - Mix - Mango Sour Cherry,China,12/2/2010,193,5592,1046
"Gin - Gilbeys London, Dry",China,21/12/2009,254,6486,1029
Oyster - In Shell,Uzbekistan,4/5/2008,105,1905,1438
Bagel - Plain,Ireland,22/5/2004,316,3719,1251
Butter - Pod,Indonesia,11/11/2010,400,5000,1238
Coffee - Espresso,Portugal,14/7/2015,219,3518,1353
Ice Cream - Turtles Stick Bar,Indonesia,12/9/2020,-69,16814,1019
Sausage - Meat,Vietnam,5/3/2007,239,3405,1363
Pomegranates,Indonesia,30/4/2011,389,4393,1054
Pheasants - Whole,Afghanistan,26/1/2008,258,4081,1027
Pasta - Fusili Tri - Coloured,United States,22/4/2005,226,6104,1104
Egg Patty Fried,Argentina,15/2/2007,,9601,1305
Lettuce - Red Leaf,France,3/3/2016,264,4810,1001
Beef - Inside Round,China,10/6/2005,362,7322,1165
Pepper - Chilli Seeds Mild,Portugal,29/5/2007,336,8888,1182
Wine - Duboeuf Beaujolais,China,20/11/2005,121,2734,1376
Beer - Camerons Auburn,Honduras,2/7/2001,174,4123,1122
Parsley - Fresh,Nigeria,22/12/2004,372,5589,1051
Coffee - Hazelnut Cream,Thailand,14/4/2010,234,5471,1128
Pumpkin,Australia,9/4/2011,219,1510,1012
Wine - Rhine Riesling Wolf Blass,Cyprus,27/9/2015,397,11802,1422
Nantucket Orange Juice,China,25/8/2009,576,11505,1316
Gherkin - Sour,Indonesia,11/5/2009,300,4581,1221
French Pastry - Mini Chocolate,New Zealand,10/9/2001,170,5231,1442
Bagel - Whole White Sesame,Philippines,28/6/2018,304,7704,1096
Muffin Batt - Choc Chk,Serbia,18/11/2019,584,13970,1312
Chicken - Leg / Back Attach,Indonesia,27/5/2003,282,7535,1133
Orange Roughy 6/8 Oz,China,12/2/2015,388,7493,1006
"Cookies - Oreo, 4 Pack",China,2/10/2003,205,4681,1084
Sproutsmustard Cress,China,13/10/2013,358,6933,1095
Beef Tenderloin Aaa,Indonesia,2/1/2002,506,10323,1341
Cheese - Bocconcini,China,22/2/2003,487,8449,1113
"Yogurt - Strawberry, 175 Gr",Cuba,11/1/2009,265,7649,1335
Coffee Caramel Biscotti,China,20/11/2005,175,3715,1091
Chocolate - Compound Coating,China,25/3/2018,356,10368,1214
Lotus Rootlets - Canned,China,29/11/2020,237,5030,1268
Wine - Magnotta - Cab Sauv,Russia,28/3/2008,226,6355,1486
Ecolab - Hand Soap Form Antibac,Russia,6/8/2014,328,9845,1217
Coffee - Hazelnut Cream,Indonesia,22/7/2020,171,3769,1198
"Beef - Roasted, Cooked",Portugal,20/5/2001,202,4623,1003
Sausage - Andouille,China,10/11/2005,108,1884,1226
Wine - Valpolicella Masi,Poland,15/11/2006,597,14794,1279
Turkey - Oven Roast Breast,Mongolia,3/12/2008,110,2654,1197
"Sauce - Black Current, Dry Mix",Mali,31/8/2004,95,3098,1446
Longos - Penne With Pesto,Indonesia,6/6/2016,278,7012,1315
Macaroons - Two Bite Choc,China,27/2/2005,109,2647,1061
Sprouts - Baby Pea Tendrils,Colombia,17/11/2016,21,550,1070
Bread - Kimel Stick Poly,Poland,5/1/2010,272,5935,1399
"Pork - Ham, Virginia",Lebanon,19/2/2018,198,4027,1171
"Nut - Walnut, Chopped",Indonesia,31/12/2019,136,2822,1389
Chivas Regal - 12 Year Old,Brazil,9/5/2019,71,1671,1462
"Asparagus - White, Fresh",China,16/10/2007,415,10937,1015
Pepper Squash,Poland,15/7/2008,111,1365,1444
Fuji Apples,Croatia,28/12/2013,287,3239,1420
Wild Boar - Tenderloin,Argentina,24/6/2010,223,4618,1430
Wine - Cava Aria Estate Brut,France,27/3/2001,254,6617,1025
Compound - Raspberry,Lithuania,24/6/2009,196,3729,1425
Jolt Cola,Colombia,2/7/2016,205,1921,1293
"Beef - Baby, Liver",Germany,4/2/2019,223,4376,1236
"Doilies - 7, Paper",Cameroon,9/6/2005,95,1788,1408
Beef - Flank Steak,Argentina,30/12/2014,-142,2933,1433
Bread Base - Gold Formel,China,9/9/2005,400,10335,1461
"Pasta - Elbows, Macaroni, Dry",China,22/1/2004,-107,14663,1473
Chips - Potato Jalapeno,China,20/5/2004,283,6638,1050
Orange - Tangerine,China,23/9/2001,131,2444,1354
Shortbread - Cookie Crumbs,Nicaragua,19/5/2014,-112,18789,1318
Anchovy Paste - 56 G Tube,Russia,26/1/2017,63,1498,1197
"Melon - Watermelon, Seedless",Canada,19/5/2001,173,5302,1410
Cheese - Cream Cheese,Serbia,23/9/2016,156,2963,1103
Soup Knorr Chili With Beans,China,13/10/2006,327,7948,1215
Bols Melon Liqueur,Mexico,4/1/2010,164,2737,1036
Table Cloth 54x54 White,France,27/11/2015,240,5351,1428
Table Cloth 62x120 White,Poland,24/5/2015,199,5210,1055
Liners - Baking Cups,Argentina,28/3/2007,209,3823,1086
Oil - Safflower,Czech Republic,13/2/2020,549,8134,1135
Cleaner - Comet,Indonesia,9/3/2002,312,4967,1254
"Tray - Foam, Square 4 - S",China,6/12/2007,478,12522,1311
Wine - Valpolicella Masi,Russia,26/8/2015,219,5170,1104
Truffle - Peelings,Portugal,30/7/2018,115,1912,1264
Syrup - Kahlua Chocolate,Azerbaijan,20/12/2006,155,3405,1493
Beer - Original Organic Lager,Brazil,16/6/2014,300,8142,1120
Cheese - La Sauvagine,Cyprus,3/4/2013,141,2682,1478
Sproutsmustard Cress,Philippines,24/12/2018,84,1757,1412
Mcgillicuddy Vanilla Schnap,Philippines,16/8/2010,395,10215,1375
Wine - Tribal Sauvignon,Belarus,2/12/2008,300,6432,1323
"Lamb - Leg, Boneless",China,9/8/2002,153,2875,1024
Vinegar - Sherry,Australia,24/3/2003,88,1295,1221
"Rum - Dark, Bacardi, Black",China,22/7/2002,-49,8232,1020
Cheese - Colby,Indonesia,27/2/2004,476,6772,1009
Pepper - Cayenne,Argentina,6/8/2013,271,4481,1258
Food Colouring - Red,Indonesia,10/9/2017,276,5984,1386
Quail - Jumbo Boneless,Ukraine,23/1/2001,469,10459,1452
"Squash - Pattypan, Yellow",China,22/11/2007,325,7762,1184
"Fish - Scallops, Cold Smoked",China,5/10/2006,353,9329,1165
Wine - Gato Negro Cabernet,Portugal,10/10/2016,256,6366,1296
Bread Base - Goodhearth,Philippines,1/5/2003,121,3050,1017
Wine - Black Tower Qr,Gabon,30/12/2018,258,5760,1205
Cheese - La Sauvagine,Peru,1/5/2011,135,3032,1120
Vinegar - Balsamic,Afghanistan,20/12/2003,530,9966,1096
Appetizer - Crab And Brie,China,22/9/2018,278,7554,1271
Garam Masala Powder,Tanzania,4/5/2013,130,2302,1450
Lobster - Cooked,Russia,6/5/2001,150,2613,1470
Beef - Eye Of Round,China,4/3/2018,-14,14365,1064
"Crush - Grape, 355 Ml",Philippines,10/3/2008,330,7404,1218
"Pasta - Cappellini, Dry",Poland,17/9/2005,159,3922,1030
"Pork - Bacon, Double Smoked",Spain,29/7/2011,346,8618,1096
Vinegar - Red Wine,Philippines,10/1/2017,347,6263,1208
"Lemonade - Strawberry, 591 Ml",Indonesia,18/1/2016,353,10397,1110
Juice - Orange,China,17/6/2019,360,5143,1282
Beef - Top Butt Aaa,China,5/8/2005,355,6900,1189
"Pasta - Shells, Medium, Dry",Colombia,6/7/2009,200,5424,1313
Mousse - Banana Chocolate,Sweden,1/5/2018,370,10134,1122
Cups 10oz Trans,Indonesia,18/3/2010,204,3300,1095
"Chicken - Diced, Cooked",Russia,29/2/2020,255,5309,1047
Beer - Guiness,China,14/10/2015,327,4330,1424
"Bread - Rolls, Rye",China,2/10/2013,282,5108,1076
"Pork - Butt, Boneless",China,13/8/2015,394,8600,1170
"Fish - Base, Bouillion",Indonesia,21/6/2008,266,5997,1423
Broom - Corn,Seychelles,22/2/2013,155,1875,1264
Wine - Penfolds Koonuga Hill,South Africa,28/3/2006,350,9210,1424
Ice Cream Bar - Oreo Cone,China,9/10/2013,114,2677,1345
Remy Red,Portugal,24/2/2009,477,3498,1425
Pastrami,Bolivia,27/3/2019,222,1953,1324
Wine - Marlbourough Sauv Blanc,Brazil,2/11/2017,303,9415,1424
Beer - Muskoka Cream Ale,Philippines,13/7/2010,184,4230,1462
White Baguette,United States,23/7/2002,425,5458,1205
Eggwhite Frozen,Peru,16/9/2017,378,5157,1359
Chicken - Tenderloin,Italy,11/2/2009,269,5115,1350
"Pasta - Lasagna, Dry",Portugal,10/9/2018,192,4000,1313
Crackers - Soda / Saltins,China,26/2/2019,293,7298,1033
"Leeks - Baby, White",Finland,13/12/2004,228,4544,1465
Rice - Jasmine Sented,United States,25/3/2004,188,3781,1016
Wine - Vouvray Cuvee Domaine,France,14/7/2013,98,2915,1024
Pop - Club Soda Can,France,2/8/2020,416,7863,1219
Beer - Mcauslan Apricot,Netherlands,18/11/2016,143,3049,1100
"Tart Shells - Barquettes, Savory",Philippines,26/6/2015,240,7613,1043
"Wine - White, Riesling, Henry Of",Indonesia,19/1/2005,327,9573,1211
Beer - Moosehead,China,15/9/2002,469,8238,1384
"Beans - Black Bean, Canned",Portugal,17/12/2006,436,11675,1212
"Wine - Red, Lurton Merlot De",Japan,21/4/2004,160,4258,1281
Kahlua,Venezuela,29/8/2002,210,1191,1257
Veal - Inside,Philippines,15/3/2003,203,2883,1452
Honey - Comb,Botswana,3/11/2008,275,3466,1175
Dried Apple,China,15/6/2018,323,3304,1378
Bread Bowl Plain,Macao,2/3/2001,306,4476,1146
"Wine - White, Antinore Orvieto",Indonesia,10/7/2018,,25802,1454
"Vermouth - White, Cinzano",Russia,19/10/2011,232,5819,1321
Wasabi Paste,Philippines,29/11/2003,425,5288,1344
Squash - Acorn,Mexico,26/8/2005,274,3499,1070
"Veal - Leg, Provimi - 50 Lb Max",Indonesia,25/1/2006,364,11691,1358
Wine - Pinot Noir Mondavi Coastal,Togo,4/9/2007,295,9665,1341
Wine - Rhine Riesling Wolf Blass,Mexico,9/2/2003,202,7012,1120
Aromat Spice / Seasoning,United States,17/5/2019,353,8831,1238
Water Chestnut - Canned,Russia,24/4/2012,151,3230,1092
Cream - 10%,Philippines,27/9/2010,317,3549,1174
Mix - Cappucino Cocktail,China,7/2/2019,423,10405,1423
"Coffee - Colombian, Portioned",Dominican Republic,28/8/2019,32,968,1069
Sugar Thermometer,Indonesia,19/8/2004,319,5531,1297
Veal - Inside,Nigeria,12/2/2006,185,2620,1324
Wine - Vovray Sec Domaine Huet,China,16/10/2012,187,5844,1299
"Pasta - Orzo, Dry",Indonesia,8/10/2006,172,2746,1061
Nougat - Paste / Cream,Mexico,11/11/2015,283,6804,1167
Veal - Sweetbread,Nigeria,15/3/2016,410,6670,1496
Bar Bran Honey Nut,Argentina,29/1/2001,354,6667,1455
Creme De Menth - White,Azerbaijan,7/3/2001,57,1364,1306
Muffin - Bran Ind Wrpd,Philippines,18/6/2003,349,7179,1139
Cheese - Shred Cheddar / Mozza,Somalia,20/9/2016,603,19020,1145
Bread - Raisin Walnut Oval,Indonesia,12/4/2003,514,13109,1388
Rolled Oats,Indonesia,14/7/2008,152,1701,1177
"Champagne - Brights, Dry",South Korea,19/4/2001,58,1359,1281
Garbag Bags - Black,Brazil,1/10/2014,115,2080,1138
Pastry - Apple Muffins - Mini,Poland,27/8/2010,530,14354,1432
Pur Source,China,2/6/2004,35,373,1458
Fond - Neutral,Japan,28/8/2018,283,3790,1264
Halibut - Steaks,Greece,11/5/2005,405,6923,1184
Chip - Potato Dill Pickle,Indonesia,20/2/2016,273,6252,1034
Cake Slab,China,23/9/2010,111,970,1207
Potatoes - Pei 10 Oz,Argentina,3/11/2008,292,5262,1323
Tea - Herbal - 6 Asst,Argentina,12/3/2015,,3573,1322
Olive - Spread Tapenade,Philippines,28/1/2002,492,12283,1245
Cranberries - Fresh,Mexico,4/4/2009,222,3966,1110
Sprouts - Pea,Tunisia,10/4/2011,578,6992,1102
Lamb - Sausage Casings,Nigeria,1/10/2004,78,1622,1228
Cream Of Tartar,Namibia,30/1/2007,308,5049,1080
Extract - Rum,Czech Republic,5/4/2018,347,4077,1182
Beef - Top Butt Aaa,Russia,28/8/2014,162,3139,1180
Shichimi Togarashi Peppeers,China,31/1/2005,451,13057,1309
Cream - 35%,China,13/7/2020,208,2083,1495
Cafe Royale,Mexico,28/8/2001,313,3348,1380
Muffin - Banana Nut Individual,Peru,24/5/2009,335,10204,1395
"Pasta - Fett Alfredo, Single Serve",Poland,9/6/2013,175,5867,1033
Vinegar - Sherry,Poland,18/11/2006,231,3350,1493
"Beef - Roasted, Cooked",China,26/9/2016,228,4520,1179
Crab Brie In Phyllo,Bulgaria,2/11/2017,392,7725,1327
Cheese - Grie Des Champ,Central African Republic,18/12/2008,96,2030,1017
Sole - Iqf,Portugal,2/8/2010,238,2143,1281
Mustard - Dijon,Portugal,13/9/2013,477,7484,1126
Truffle Shells - White Chocolate,France,16/10/2010,180,5719,1433
Beef - Tenderloin Tails,Brazil,24/3/2017,250,6177,1377
Mint - Fresh,China,14/7/2003,261,3357,1341
Pepper - Green Thai,Honduras,26/3/2005,405,7636,1365
Cup - 8oz Coffee Perforated,China,15/12/2006,490,13345,1003
Wine - Sicilia Igt Nero Avola,Iran,15/5/2007,395,11680,1283
Cinnamon - Stick,Indonesia,28/6/2010,381,6003,1013
Truffle Cups - White Paper,Portugal,3/3/2019,288,8192,1289
"Juice - Tomato, 10 Oz",Vietnam,29/9/2004,233,4456,1233
Pork - Smoked Back Bacon,China,20/1/2006,91,2142,1314
Compound - Rum,Kiribati,15/4/2006,307,4443,1030
"Pork - Sausage, Medium",Czech Republic,23/9/2004,392,8556,1232
Onion - Dried,Russia,18/7/2009,405,5481,1033
"Corn - Cream, Canned",Philippines,2/3/2020,238,4572,1211
Juice - Orange,New Zealand,12/4/2013,222,2994,1437
Vector Energy Bar,Germany,17/9/2016,468,7237,1306
Soup - Boston Clam Chowder,Ukraine,18/4/2009,363,8627,1445
Peppercorns - Green,Canada,5/5/2020,125,2582,1034
Godiva White Chocolate,Indonesia,16/11/2016,219,4571,1023
Madeira,Belarus,10/3/2005,142,921,1358
Greens Mustard,Angola,19/4/2003,446,6308,1443
"Crab - Claws, Snow 16 - 24",Sweden,19/2/2016,44,1180,1144
Jam - Apricot,China,1/12/2015,595,7071,1080
Rambutan,Philippines,27/7/2008,296,2156,1064
Sausage - Andouille,United States,11/8/2015,159,2984,1452
