id_usuario,edad_usuario,genero_usuario,fecha_origen_recorrido,id_estacion_origen,nombre_estacion_origen,direccion_estacion_origen,capacidad_estacion_origen,lat_estacion_origen,long_estacion_origen,duracion_recorrido,fecha_destino_recorrido,id_estacion_destino,nombre_estacion_destino,direccion_estacion_destino,capacidad_estacion_destino,lat_estacion_destino,long_estacion_destino,servicio
172952,,,2019-05-28 11:12:09,216.0,Coronel Diaz,Guemes 3330,20.0,-34.5900976,-58.4114907,0 days 00:41:47.000000000,2019-05-28 11:53:56,155.0,PARQUE JOSE EVARISTO URIBURU,Almafuerte Av. 300,20.0,-34.640961700000005,-58.412560600000006,nuevo
151904,,,2019-07-27 15:07:51,85.0,AGUERO,"Aguero y Mansilla, Lucio Norberto, General",20.0,-34.5948057,-58.4091784,0 days 00:05:55.000000000,2019-07-27 15:13:46,25.0,Plaza Guemes,"Salguero, Jeronimo y Mansilla, Lucio Norberto, General",24.0,-34.5894269,-58.416117799999995,nuevo
152152,,,2019-07-28 15:38:39,285.0,Reserva Ecologica,"Achaval Rodriguez, T., Dr. Av. 1520",20.0,-34.617212200000004,-58.356175199999996,0 days 01:01:45.000000000,2019-07-28 16:40:24,285.0,Reserva Ecologica,"Achaval Rodriguez, T., Dr. Av. 1520",20.0,-34.617212200000004,-58.356175199999996,nuevo
37948,,,2019-03-14 10:49:38,75.0,Plaza Primero de Mayo,Pichincha 238,20.0,-34.612297600000005,-58.39898710000001,0 days 00:29:37.000000000,2019-03-14 11:19:15,175.0,Constitución,"Garay, Juan De Av. 1050",36.0,-34.6267408,-58.38093489999999,nuevo
111773,,,2019-06-14 13:51:00,182.0,RAVIGNANI Y GUATEMALA,"Ravignani, Emilio, Dr. 2185",20.0,-34.5780479,-58.4352466,0 days 00:09:27.000000000,2019-06-14 14:00:27,206.0,Fitz Roy & Gorriti,Fitz Roy y Gorriti,16.0,-34.5849119,-58.4372524,nuevo
100918,,,2019-04-05 11:52:54,59.0,Independencia,"Independencia Av. E Irigoyen, Bernardo De",20.0,-34.617771000000005,-58.3804546,0 days 00:26:45.000000000,2019-04-05 12:19:39,9.0,Parque Las Heras,"Diaz, Cnel. Av. 2300",24.0,-34.585443,-58.407741,nuevo
33536,,,2019-04-08 04:59:08,46.0,Chile,Peru 718,18.0,-34.6163012,-58.37437489999999,0 days 00:14:44.000000000,2019-04-08 05:13:52,28.0,Plaza Boedo,"Calvo, Carlos 3310",20.0,-34.6231273,-58.4127377,nuevo
105352,,,2019-07-23 09:14:43,144.0,PUEYRREDÓN,Boulogne Sur Mer 684,20.0,-34.6018744,-58.4060944,0 days 00:35:19.000000000,2019-07-23 09:50:02,239.0,Plaza República de Ecuador,"Figueroa Alcorta, Pres. Av. y Dorrego Av.",20.0,-34.565008899999995,-58.4201625,nuevo
68958,,,2019-06-03 16:27:26,149.0,LIMA,Mexico y Lima,16.0,-34.6153266,-58.3813642,0 days 00:07:11.000000000,2019-06-03 16:34:37,430.0,Claudia Pia Braudacco,Esmeralda y Rivadavia Av.,12.0,-34.607981,-58.377885600000006,nuevo
42830,,,2019-04-10 13:25:59,45.0,Uruguay,Uruguay Av. 561,20.0,-34.6018635,-58.3866934,0 days 00:14:48.000000000,2019-04-10 13:40:47,54.0,Acuña de Figueroa,"Lavalle y Acuña De Figueroa, Francisco",20.0,-34.598118299999996,-58.42198440000001,nuevo
26081,,,2019-03-30 10:15:13,12.0,Plaza Vicente Lopez,Parana y Juncal,16.0,-34.5927096,-58.38880699999999,0 days 00:10:43.000000000,2019-03-30 10:25:56,45.0,Uruguay,Uruguay Av. 561,20.0,-34.6018635,-58.3866934,nuevo
275322,,,2019-06-25 13:58:13,135.0,MARCELO T. DE ALVEAR,Esmeralda 902,20.0,-34.5972818,-58.3787856,0 days 00:41:37.000000000,2019-06-25 14:39:50,3.0,ADUANA,Moreno y Paseo Colon Av.,20.0,-34.611032,-58.3682604,nuevo
350896,,,2019-06-24 14:38:25,382.0,Biarritz,Biarritz 2403,16.0,-34.605452,-58.477426,0 days 00:10:01.000000000,2019-06-24 14:48:26,397.0,Artigas Y Melincue,"Artigas, Jose Gervasio, Gral. y Melincue",12.0,-34.5979984,-58.4856262,nuevo
246729,,,2019-06-05 13:43:46,144.0,PUEYRREDÓN,Boulogne Sur Mer 684,20.0,-34.6018744,-58.4060944,0 days 00:11:17.000000000,2019-06-05 13:55:03,171.0,Pasteur,Pasteur 519,20.0,-34.6032813,-58.399755299999995,nuevo
79863,,,2019-03-20 08:47:11,4.0,Plaza Roma,Lavalle y Bouchard,20.0,-34.6017255,-58.368762800000006,0 days 00:10:31.000000000,2019-03-20 08:57:42,2.0,Retiro I,"Ramos Mejia, Jose Maria, Dr. Av. y Del Libertador Av.",20.0,-34.59242329999999,-58.37471510000001,nuevo
94735,,,2019-06-12 12:55:22,172.0,BRASIL,Brasil y Defensa,16.0,-34.625426000000004,-58.371081999999994,0 days 00:33:46.000000000,2019-06-12 13:29:08,150.0,VERA PEÑALOZA,"Vera Peñaloza,  Rosario y Cossettini, Olga",30.0,-34.618100299999995,-58.363138899999996,nuevo
82719,,,2019-06-18 19:58:46,33.0,Facultad de Medicina,"Uriburu Jose E., Pres. 987",20.0,-34.5970909,-58.3989807,0 days 00:16:10.000000000,2019-06-18 20:14:56,110.0,Guardia Vieja,Guardia Vieja 3500,20.0,-34.601738,-58.415434,nuevo
209528_0,53.0,FEMENINO,2019-01-30 23:59:12,66.0,Billinghurst,De la Cárcova 3508,,-34.5946291440332,-58.41385892691,0 days 00:05:57.000000000,2019-01-31 00:05:09,59.0,Coronel Díaz,Güemes 3328 y Coronel Diaz,,-34.5902244780447,-58.411495316773994,antiguo
31781,,,2019-03-26 19:24:24,6.0,Parque Lezama,"Garcia, Martin Av. 295",20.0,-34.628526,-58.369758,0 days 00:22:17.000000000,2019-03-26 19:46:41,42.0,Diagonal Norte,"Saenz Peña, Roque, Pres. Diagonal Norte Av. y Suipacha",24.0,-34.604447,-58.38003248,nuevo
118300,,,2019-05-26 21:44:24,110.0,Guardia Vieja,Guardia Vieja 3500,20.0,-34.601738,-58.415434,0 days 00:47:56.000000000,2019-05-26 22:32:20,181.0,BILLINGHURST Y MANSILLA,Billinghurst 1533,20.0,-34.5927221,-58.4120394,nuevo
250947,,,2019-07-21 15:06:40,376.0,Las Victorias,"Vallese, Felipe 4083",20.0,-34.626698,-58.487135200000004,0 days 00:17:38.000000000,2019-07-21 15:24:18,271.0,Venancio Flores,"Argerich y Flores, Venancio, Gral.",20.0,-34.63008,-58.47426,nuevo
260967,,,2019-07-10 12:11:35,274.0,Ciudad De La Paz,Ciudad De La Paz 2816,24.0,-34.5563511,-58.4630428,0 days 00:05:13.000000000,2019-07-10 12:16:48,358.0,Balbín,Conesa 2519,12.0,-34.561546500000006,-58.4655255,nuevo
268828,,,2019-06-18 11:10:03,333.0,Beiro,"Beiro, Francisco Av. 3572",20.0,-34.600433200000005,-58.5036238,0 days 00:35:44.000000000,2019-06-18 11:45:47,324.0,JURAMENTO,Juramento 5209,16.0,-34.578933,-58.4840556,nuevo
8933,,,2019-03-18 18:05:12,26.0,JUANA MANSO I,"Manso Juana y De La Barra,  Emma",24.0,-34.600460600000005,-58.3636593,0 days 00:12:58.000000000,2019-03-18 18:18:10,2.0,Retiro I,"Ramos Mejia, Jose Maria, Dr. Av. y Del Libertador Av.",20.0,-34.59242329999999,-58.37471510000001,nuevo
387016,,,2019-07-08 14:50:06,130.0,RETIRO II,,40.0,-34.592105600000004,-58.3745419,0 days 00:10:37.000000000,2019-07-08 15:00:43,448.0,Barrio 31,Carlos H. Perette 11,16.0,-34.5832497,-58.3787309,nuevo
228921,,,2019-07-02 18:33:38,419.0,Plaza Balcarce,Jaramillo 2324,20.0,-34.547672999999996,-58.467851,0 days 00:46:32.000000000,2019-07-02 19:20:10,247.0,Tronador,Triunvirato Av. y Tronador,18.0,-34.5839895,-58.4666304,nuevo
131099,,,2019-06-12 07:57:22,354.0,Sanatorio Mendez,Hidalgo 512,20.0,-34.613457000000004,-58.4401581,0 days 00:49:40.000000000,2019-06-12 08:47:02,33.0,Facultad de Medicina,"Uriburu Jose E., Pres. 987",20.0,-34.5970909,-58.3989807,nuevo
272053,,,2019-06-02 23:45:13,269.0,SAN MIGUEL DE GARICOITS,"Delgado y Loreto, Virrey",18.0,-34.577296000000004,-58.457854000000005,0 days 00:00:02.000000000,2019-06-02 23:45:15,248.0,Plaza Zapiola,Donado 2001,20.0,-34.5738411,-58.4742812,nuevo
305948_0,44.0,FEMENINO,2019-02-22 07:22:24,74.0,Instituto Leloir,"Av. Patricias Argentinas 401, entre Juana de Ibarbourou y Av. Machado",,-34.604571775755,-58.434242799113996,0 days 00:05:07.000000000,2019-02-22 07:27:31,129.0,Velasco,Velasco 285 entre Julián Álvarez y Lavalleja,,-34.600164664861104,-58.434954874725705,antiguo
126648,,,2019-07-31 20:49:34,12.0,Plaza Vicente Lopez,Parana y Juncal,16.0,-34.5927096,-58.38880699999999,0 days 03:15:37.000000000,2019-08-01 00:05:11,12.0,Plaza Vicente Lopez,Parana y Juncal,16.0,-34.5927096,-58.38880699999999,nuevo
134467,,,2019-05-26 12:50:55,283.0,BALDOMERO,"Fernandez Moreno, Baldomero 2289",20.0,-34.6355054,-58.456035,0 days 03:50:30.000000000,2019-05-26 16:41:25,26.0,JUANA MANSO I,"Manso Juana y De La Barra,  Emma",24.0,-34.600460600000005,-58.3636593,nuevo
332555,,,2019-07-30 06:34:57,263.0,PLAZA DEL ANGEL GRIS,Calcena y Avellaneda Av.,12.0,-34.621794799999996,-58.457527899999995,0 days 00:05:58.000000000,2019-07-30 06:40:55,335.0,Galicia,Galicia 2502,20.0,-34.615852000000004,-58.470907,nuevo
256776,,,2019-06-18 10:34:16,155.0,PARQUE JOSE EVARISTO URIBURU,Almafuerte Av. 300,20.0,-34.640961700000005,-58.412560600000006,0 days 00:05:07.000000000,2019-06-18 10:39:23,326.0,POMAR,"Pomar, Gregorio Tte. Cnel. 4152",20.0,-34.6411734,-58.42022660000001,nuevo
78878,,,2019-03-28 06:06:46,163.0,ONCE II,"Mitre, Bartolome y Pueyrredon Av.",30.0,-34.6095663,-58.406430799999995,0 days 00:15:33.000000000,2019-03-28 06:22:19,9.0,Parque Las Heras,"Diaz, Cnel. Av. 2300",24.0,-34.585443,-58.407741,nuevo
107492,,,2019-03-31 23:42:59,56.0,Plaza Palermo Viejo,Costa Rica y Armenia,16.0,-34.588567,-58.425999,0 days 00:11:56.000000000,2019-03-31 23:54:55,44.0,Ecoparque,Del Libertador Av. 3260,20.0,-34.5755148,-58.413882900000004,nuevo
275060,,,2019-06-20 14:33:57,321.0,EDUARDO OLIVERA,"Campos, Luis M. Av. 1631",16.0,-34.561851000000004,-58.444754,0 days 00:26:05.000000000,2019-06-20 15:00:02,5.0,Plaza Italia,Sarmiento Av. 2601,42.0,-34.580549700000006,-58.420954200000004,nuevo
148732,,,2019-06-23 19:26:37,110.0,Guardia Vieja,Guardia Vieja 3500,20.0,-34.601738,-58.415434,0 days 00:07:05.000000000,2019-06-23 19:33:42,169.0,FACULTAD DE PSICOLOGIA,"Yrigoyen, Hipolito y 24 De Noviembre",12.0,-34.611875,-58.411887,nuevo
84224,,,2019-05-17 08:28:27,126.0,MINISTERIO DE JUSTICIA  Y SEGURIDAD,"Regimiento De Patricios Av. y Araoz De Lamadrid, Gregorio, Gral.",16.0,-34.640267200000004,-58.3692243,0 days 00:21:20.000000000,2019-05-17 08:49:47,444.0,Ministerio de Economia,"Balcarce y Yrigoyen, Hipolito Av.",24.0,-34.60890870000001,-58.3711541,nuevo
67994,,,2019-05-12 09:28:43,219.0,Las Casas,Las Casas 3587,16.0,-34.635173200000004,-58.415703500000006,0 days 00:24:06.000000000,2019-05-12 09:52:49,163.0,ONCE II,"Mitre, Bartolome y Pueyrredon Av.",30.0,-34.6095663,-58.406430799999995,nuevo
69477,,,2019-05-16 19:29:59,196.0,HOSPITAL ARGERICH,Pi y Margall 750,20.0,-34.6275351,-58.3657211,0 days 00:27:07.000000000,2019-05-16 19:57:06,62.0,Córdoba,Maipu 820,20.0,-34.5985102,-58.376850100000006,nuevo
5997,,,2019-05-27 17:04:20,27.0,Montevideo,Cordoba Av. y Montevideo,16.0,-34.599068,-58.3900887,0 days 00:20:07.000000000,2019-05-27 17:24:27,82.0,HOSPITAL ITALIANO,Rawson 394,20.0,-34.6078917,-58.4263947,nuevo
346773,,,2019-07-04 10:00:50,32.0,Catedral,San Martin 67,16.0,-34.60720739999999,-58.37359839999999,0 days 00:02:38.000000000,2019-07-04 10:03:28,40.0,Sarmiento,Sarmiento 481,16.0,-34.604461,-58.373499,nuevo
391051_0,36.0,MASCULINO,2019-01-23 17:23:27,158.0,Villarroel,Villarroel y Humboldt,,-34.5928392137991,-58.44509865535971,0 days 00:06:03.000000000,2019-01-23 17:29:30,159_0,Fitz Roy y Gorriti,,,,,antiguo
21889,,,2019-03-14 15:47:18,73.0,Ruy Díaz de Guzmán,"Garcia, Martin Av. y Ruy Diaz De Guzman",16.0,-34.6306814,-58.3718235,0 days 00:20:49.000000000,2019-03-14 16:08:07,23.0,Suipacha,Suipacha y Viamonte,12.0,-34.600309499999995,-58.3793463,nuevo
197870,,,2019-07-28 21:43:52,255.0,Puan,Yerbal 1290,16.0,-34.6221889,-58.44855,0 days 00:07:42.000000000,2019-07-28 21:51:34,280.0,SIMON BOLIVAR,"Fernandez Moreno, Baldomero 1701",24.0,-34.633311299999995,-58.4494755,nuevo
126608,,,2019-06-26 17:17:38,58.0,Ministro Carranza,Santa Fe Av. y Dorrego,20.0,-34.575277299999996,-58.43468829999999,0 days 00:26:08.000000000,2019-06-26 17:43:46,314.0,SOR JUANA,Galicia 1630,16.0,-34.61047,-58.4602399,nuevo
117911,,,2019-06-11 20:48:03,96.0,Carlos Gardel,Guardia Vieja 3302,20.0,-34.6027814,-58.4116586,0 days 01:06:36.000000000,2019-06-11 21:54:39,107.0,HOSPITAL GARRAHAN,Brasil y Pichincha Av.,16.0,-34.630373999999996,-58.395852000000005,nuevo
368493,,,2019-07-31 12:04:47,426.0,PLAZA ALBERTI,Arcos y Roosevelt Franklin D.,20.0,-34.555582,-58.457962,0 days 01:15:41.000000000,2019-07-31 13:20:28,426.0,PLAZA ALBERTI,Arcos y Roosevelt Franklin D.,20.0,-34.555582,-58.457962,nuevo
165030,,,2019-06-12 14:25:27,95.0,ESMERALDA,Esmeralda 516,16.0,-34.60211210000001,-58.37816779999999,0 days 00:06:58.000000000,2019-06-12 14:32:25,38.0,Plaza Libertad,Cerrito 990,20.0,-34.59704970000001,-58.38284029999999,nuevo
53984,,,2019-07-12 17:49:12,93.0,CARLOS CALVO,Sarandi 1010,20.0,-34.620798,-58.3944635,0 days 00:26:58.000000000,2019-07-12 18:16:10,29.0,Parque Centenario,Patricias Argentinas Av. y Estivao,30.0,-34.6079414,-58.4335573,nuevo
82737,,,2019-06-18 13:59:54,33.0,Facultad de Medicina,"Uriburu Jose E., Pres. 987",20.0,-34.5970909,-58.3989807,0 days 00:12:25.000000000,2019-06-18 14:12:19,66.0,Billinghurst,"Carcova, De La 3508",20.0,-34.5945475,-58.4138713,nuevo
48032,,,2019-06-24 11:32:28,172.0,BRASIL,Brasil y Defensa,16.0,-34.625426000000004,-58.371081999999994,0 days 00:51:26.000000000,2019-06-24 12:23:54,212.0,Velasco,"Ramirez De Velasco, Juan 285",20.0,-34.600164,-58.434982999999995,nuevo
111811,,,2019-07-22 17:36:34,199.0,ESTADOS UNIDOS Y BOEDO,Estados Unidos 3568,20.0,-34.622260100000005,-58.4160137,0 days 00:39:41.000000000,2019-07-22 18:16:15,102.0,ROSETI,Roseti 50,12.0,-34.5864287,-58.445819900000004,nuevo
268590,,,2019-07-15 10:35:45,230.0,PLAZA CASTELLI,Echeverria 3249,16.0,-34.5678255,-58.4645037,0 days 00:08:33.000000000,2019-07-15 10:44:18,289.0,BARRANCAS DE BELGRANO,"Sucre, Antonio Jose De, Mcal. y Vertiz Virrey Av.",24.0,-34.559793400000004,-58.4484316,nuevo
33182,,,2019-06-24 06:43:34,107.0,HOSPITAL GARRAHAN,Brasil y Pichincha Av.,16.0,-34.630373999999996,-58.395852000000005,0 days 00:13:41.000000000,2019-06-24 06:57:15,72.0,Venezuela,Peru 490,18.0,-34.613542100000004,-58.374663500000004,nuevo
282830,,,2019-06-21 17:42:40,46.0,Chile,Peru 718,18.0,-34.6163012,-58.37437489999999,0 days 00:14:57.000000000,2019-06-21 17:57:37,71.0,CERRITO,"Saenz Peña, Roque, Pres. Diagonal Norte Av. y Cerrito",30.0,-34.60266729999999,-58.3833559,nuevo
308733,,,2019-06-10 17:36:25,343.0,Parque Chacabuco II,Asamblea Av. y Faraday,20.0,-34.635727200000005,-58.4411639,0 days 00:22:59.000000000,2019-06-10 17:59:24,371.0,Plaza De La Misericordia,Lautaro 493,16.0,-34.63281,-58.455057999999994,nuevo
119483,,,2019-06-22 16:16:05,269.0,SAN MIGUEL DE GARICOITS,"Delgado y Loreto, Virrey",18.0,-34.577296000000004,-58.457854000000005,0 days 03:08:53.000000000,2019-06-22 19:24:58,229.0,PLAZOLETA CELEDONIO FLORES,Cordoba 6599,12.0,-34.5813811,-58.4514575,nuevo
156444,,,2019-07-01 08:20:53,54.0,Acuña de Figueroa,"Lavalle y Acuña De Figueroa, Francisco",20.0,-34.598118299999996,-58.42198440000001,0 days 00:36:33.000000000,2019-07-01 08:57:26,60.0,25 De Mayo,25 De Mayo 527,20.0,-34.601650899999996,-58.371079,nuevo
72896,,,2019-04-29 16:00:28,46.0,Chile,Peru 718,18.0,-34.6163012,-58.37437489999999,0 days 00:21:13.000000000,2019-04-29 16:21:41,76.0,Ayacucho,"Ayacucho y Peron, Juan Domingo, Tte. General",20.0,-34.6074084,-58.3950548,nuevo
96892,,,2019-05-13 16:23:32,27.0,Montevideo,Cordoba Av. y Montevideo,16.0,-34.599068,-58.3900887,0 days 00:25:45.000000000,2019-05-13 16:49:17,126.0,MINISTERIO DE JUSTICIA  Y SEGURIDAD,"Regimiento De Patricios Av. y Araoz De Lamadrid, Gregorio, Gral.",16.0,-34.640267200000004,-58.3692243,nuevo
6237,,,2019-05-17 09:11:29,175.0,Constitución,"Garay, Juan De Av. 1050",36.0,-34.6267408,-58.38093489999999,0 days 00:00:02.000000000,2019-05-17 09:11:31,24.0,ALSINA,"Alsina, Adolfo E Irigoyen, Bernardo De",18.0,-34.610583,-58.380894299999994,nuevo
124169,,,2019-05-31 22:25:21,121.0,YATAY,Yatay 925,20.0,-34.601173200000005,-58.4285093,0 days 00:06:30.000000000,2019-05-31 22:31:51,212.0,Velasco,"Ramirez De Velasco, Juan 285",20.0,-34.600164,-58.434982999999995,nuevo
112100,,,2019-04-03 13:49:47,4.0,Plaza Roma,Lavalle y Bouchard,20.0,-34.6017255,-58.368762800000006,0 days 00:02:49.000000000,2019-04-03 13:52:36,4.0,Plaza Roma,Lavalle y Bouchard,20.0,-34.6017255,-58.368762800000006,nuevo
11890,,,2019-03-09 17:58:34,163.0,ONCE II,"Mitre, Bartolome y Pueyrredon Av.",30.0,-34.6095663,-58.406430799999995,0 days 00:28:30.000000000,2019-03-09 18:27:04,20.0,Distrito Audiovisual,Zapiola y Dorrego,20.0,-34.5798619,-58.44177560000001,nuevo
605798_0,47.0,FEMENINO,2019-02-05 08:14:51,91.0,Pasco,Pasco 708 entre Chile y Av Independencia,,-34.6174914920679,-58.397547065967906,0 days 00:18:35.000000000,2019-02-05 08:33:26,17.0,Plaza Almagro,Plaza Almagro,,-34.606398525093304,-58.41883221444161,antiguo
2322,,,2019-05-06 06:06:39,54.0,Acuña de Figueroa,"Lavalle y Acuña De Figueroa, Francisco",20.0,-34.598118299999996,-58.42198440000001,0 days 00:15:57.000000000,2019-05-06 06:22:36,20.0,Distrito Audiovisual,Zapiola y Dorrego,20.0,-34.5798619,-58.44177560000001,nuevo
178279,,,2019-06-26 17:29:51,151.0,AIME PAINÉ,"Villaflor, Azucena y Paine, Aime",24.0,-34.6118145,-58.361284999999995,0 days 00:06:00.000000000,2019-06-26 17:35:51,151.0,AIME PAINÉ,"Villaflor, Azucena y Paine, Aime",24.0,-34.6118145,-58.361284999999995,nuevo
22717,,,2019-05-15 20:18:29,182.0,RAVIGNANI Y GUATEMALA,"Ravignani, Emilio, Dr. 2185",20.0,-34.5780479,-58.4352466,0 days 00:26:36.000000000,2019-05-15 20:45:05,89.0,Cabello,Cabello 3082,20.0,-34.5825475,-58.405667099999995,nuevo
82068,,,2019-06-22 17:51:15,173.0,PLAZA CECILIA GRIERSON,San Juan Av. 632,16.0,-34.622296399999996,-58.37516070000001,0 days 00:31:41.000000000,2019-06-22 18:22:56,152.0,JULIETA LANTERI,"Vera Peñaloza,  Rosario 599",20.0,-34.6181645,-58.3596311,nuevo
132466,,,2019-05-24 16:35:31,194.0,PERÓN Y ACUÑA DE FIGUEROA,"Peron, Juan Domingo, Tte. General 3997",16.0,-34.6060758,-58.4224635,0 days 00:35:03.000000000,2019-05-24 17:10:34,265.0,Plaza Don Segundo Sombra,Santander 2347,16.0,-34.641883299999996,-58.450658,nuevo
289417,,,2019-06-09 16:16:00,414.0,Franklin,Franklin 440,20.0,-34.607731,-58.438304099999996,0 days 00:59:37.000000000,2019-06-09 17:15:37,29.0,Parque Centenario,Patricias Argentinas Av. y Estivao,30.0,-34.6079414,-58.4335573,nuevo
5499,,,2019-06-12 13:03:26,116.0,HOSPITAL ALEMÁN,Beruti y Ecuador,12.0,-34.5921708,-58.4025894,0 days 01:10:24.000000000,2019-06-12 14:13:50,69.0,Ecuador,Ecuador 1226,16.0,-34.5961006,-58.4046092,nuevo
217343,,,2019-07-15 18:00:02,124.0,UGARTECHE,Ugarteche 3050,20.0,-34.580538,-58.411965,0 days 00:03:49.000000000,2019-07-15 18:03:51,89.0,Cabello,Cabello 3082,20.0,-34.5825475,-58.405667099999995,nuevo
169102,,,2019-06-06 09:44:02,182.0,RAVIGNANI Y GUATEMALA,"Ravignani, Emilio, Dr. 2185",20.0,-34.5780479,-58.4352466,0 days 00:06:17.000000000,2019-06-06 09:50:19,206.0,Fitz Roy & Gorriti,Fitz Roy y Gorriti,16.0,-34.5849119,-58.4372524,nuevo
