Artwork ID,Title,Artist ID,Name,Date,Medium,Dimensions,Acquisition Date,Credit,Catalogue,Department,Classification,Object Number,Diameter (cm),Circumference (cm),Height (cm),Length (cm),Width (cm),Depth (cm),Weight (kg),Duration (s)
12,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.13,,,35.6,,45.7,,,
13,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.14,,,35.6,,45.7,,,
14,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.15,,,35.6,,45.7,,,
15,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.16,,,35.6,,45.7,,,
16,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.17,,,35.6,,45.7,,,
17,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.18,,,35.6,,45.7,,,
18,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.19,,,35.6,,45.7,,,
19,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.2,,,35.6,,45.7,,,
20,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.20,,,35.6,,45.7,,,
21,"The Manhattan Transcripts Project, New York, New York , Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.21,,,35.6,,45.7,,,
22,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.22,,,35.6,,45.7,,,
23,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.23,,,35.6,,45.7,,,
24,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.24,,,35.6,,45.7,,,
25,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.3,,,35.6,,45.7,,,
26,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.4,,,35.6,,45.7,,,
27,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.5,,,35.6,,45.7,,,
28,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.6,,,35.6,,45.7,,,
29,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.7,,,35.6,,45.7,,,
30,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.8,,,35.6,,45.7,,,
31,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",7056,Bernard Tschumi,1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,3.1995.9,,,35.6,,45.7,,,
32,"Memorial to the Six Million Jewish Martyrs, project, New York City, New York, Perspective of central pier",2964,Louis I. Kahn,1968,Charcoal and graphite on tracing paper,"44 1/2 x 66"" (113 x 167.6 cm)",1997-01-15,Purchase,Y,Architecture & Design,Architecture,3.1997,,,113,,167.6,,,
33,"The Manhattan Transcripts Project, New York, New York, Introductory panel to Episode 2: The Street (Border Crossing)",7056,Bernard Tschumi,1980,Photographic reproduction with colored synthetic laminate,"20 x 20"" (50.8 X 50.8 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,4.1995,,,50.8,,50.8,,,
34,"Royal Hunting Tent, project, Exterior perspective",7607,Marcel Kammerer,1900,"Ink, graphite, watercolor, gouache, and airbrush on paper","18 7/8 x 12 3/8"" (47.9 x 31.4 cm)",1997-01-15,Gift of Jo Carole and Ronald S. Lauder,Y,Architecture & Design,Architecture,4.1997,,,47.9,,31.4,,,
35,"The Manhattan Transcripts Project, New York, New York, Episode 2: The Street (Border Crossing)",7056,Bernard Tschumi,1978,"Ink, charcoal, graphite, cut-and-pasted photographic reproductions, Letraset type, and color pencil on tracing paper","24 x 322"" (61 x 817.9 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,5.1995,,,60.9601,,817.8816,,,
36,"House in Krems, project, Krems, Austria, Elevation",7608,Otto Schönthal,1905,"Graphite, ink, watercolor, and metallic paint on paper","12 x 8 1/2"" (30.5 x 21.6 cm)",1997-01-15,Gift of Jo Carole and Ronald S. Lauder,Y,Architecture & Design,Architecture,5.1997,,,30.5,,21.6,,,
38,"The Manhattan Transcripts Project, New York, New York, Introductory panel to Episode 3: The Tower (The Fall)",7056,Bernard Tschumi,1980,Photographic reproduction with colored synthetic laminate,"20 x 20""(50.8 x 50.8 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,6.1995,,,50.8,,50.8,,,
39,"Imperial Post Office, Teschen, Austria (Elevation)",7608,Otto Schönthal,1906,"Pencil, ink, colored pencil, and gouache on paper","11 5/8 x 14 1/8"" (29.6 x 35.8 cm)",1997-01-15,Gift of Jo Carole and Ronald S. Lauder,Y,Architecture & Design,Architecture,6.1997,,,29.6,,35.8,,,
41,"The Manhattan Transcripts Project, New York, New York, Episode 3: The Tower (The Fall)",7056,Bernard Tschumi,1979,Ink on tracing paper,"48 x 24"" (121.9 x 61 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,7.1995.1,,,121.9,,61,,,
42,"The Manhattan Transcripts Project, New York, New York, Episode 3: The Tower (The Fall)",7056,Bernard Tschumi,1979,Ink and transfer on tracing paper,"Each: 48 x 24"" (121.9 x 61 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,7.1995.1-9,,,121.9202,,60.9601,,,
43,"The Manhattan Transcripts Project, New York, New York, Episode 3: The Tower (The Fall)",7056,Bernard Tschumi,1979,Ink on tracing paper,"48 x 24"" (121.9 x 61 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,7.1995.2,,,121.9,,61,,,
44,"The Manhattan Transcripts Project, New York, New York, Episode 3: The Tower (The Fall)",7056,Bernard Tschumi,1980,Ink on tracing paper,"48 x 24"" (121.9 x 61 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,7.1995.3,,,121.9,,61,,,
45,"The Manhattan Transcripts Project, New York, New York, Episode 3: The Tower (The Fall)",7056,Bernard Tschumi,1979,Ink on tracing paper,"48 x 24"" (121.9 x 61 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,7.1995.4,,,121.9,,61,,,
46,"The Manhattan Transcripts Project, New York, New York, Episode 3: The Tower (The Fall)",7056,Bernard Tschumi,1979,Ink on tracing paper,"48 x 24"" (121.9 x 61 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,7.1995.5,,,121.9,,61,,,
47,"The Manhattan Transcripts Project, New York, New York, Episode 3: The Tower (The Fall)",7056,Bernard Tschumi,1979,Ink on tracing paper,"48 x 24"" (121.9 x 61 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,7.1995.6,,,121.9,,61,,,
48,"The Manhattan Transcripts Project, New York, New York, Episode 3: The Tower (The Fall)",7056,Bernard Tschumi,1979,Ink on tracing paper,"48 x 24"" (121.9 x 61 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,7.1995.7,,,121.9,,61,,,
49,"The Manhattan Transcripts Project, New York, New York, Episode 3: The Tower (The Fall)",7056,Bernard Tschumi,1979,Ink on tracing paper,"48 x 24"" (121.9 x 61 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,7.1995.8,,,121.9,,61,,,
50,"The Manhattan Transcripts Project, New York, New York, Episode 3: The Tower (The Fall)",7056,Bernard Tschumi,1979,Ink and photographic reproductions on tracing paper,"48 x 24"" (121.9 x 61 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,7.1995.9,,,121.9,,61,,,
52,"The Manhattan Transcripts Project, New York, New York, Introductory panel to Episode 4: The Block",7056,Bernard Tschumi,1980,Photographic reproduction with colored synthetic laminate,"Each: 20 x 20"" (50.8 x 50.8 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,8.1995,,,50.8,,50.8,,,
54,"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",7056,Bernard Tschumi,1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,9.1995.1,,,48.3,,78.7,,,
55,"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",7056,Bernard Tschumi,1980-81,Ink and photographs on tracing paper,"Each: 19 x 31"" (48.2 x 78.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,9.1995.1-14,,,48.2,,78.7,,,
56,"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",7056,Bernard Tschumi,1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,9.1995.10,,,48.3,,78.7,,,
57,"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",7056,Bernard Tschumi,1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,9.1995.11,,,48.3,,78.7,,,
58,"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",7056,Bernard Tschumi,1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,9.1995.12,,,48.3,,78.7,,,
59,"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",7056,Bernard Tschumi,1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,9.1995.13,,,48.3,,78.7,,,
60,"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",7056,Bernard Tschumi,1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,9.1995.14,,,48.3,,78.7,,,
61,"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",7056,Bernard Tschumi,1980-81,Ink on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,9.1995.2,,,48.3,,78.7,,,
62,"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",7056,Bernard Tschumi,1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,9.1995.3,,,48.3,,78.7,,,
63,"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",7056,Bernard Tschumi,1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,9.1995.4,,,48.3,,78.7,,,
64,"The Manhattan Transcripts Project, New York, New York , Episode 4: The Block",7056,Bernard Tschumi,1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,9.1995.5,,,48.3,,78.7,,,
65,"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",7056,Bernard Tschumi,1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,9.1995.6,,,48.3,,78.7,,,
66,"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",7056,Bernard Tschumi,1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,9.1995.7,,,48.3,,78.7,,,
67,"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",7056,Bernard Tschumi,1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,9.1995.8,,,48.3,,78.7,,,
68,"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",7056,Bernard Tschumi,1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",1995-01-17,Purchase and partial gift of the architect in honor of Lily Auchincloss,Y,Architecture & Design,Architecture,9.1995.9,,,48.3,,78.7,,,
76,"Concert Hall Project, Dresden, Germany (Interior perspective of preliminary scheme)",8100,Hans Poelzig,1918,Color pencil and graphite on tracing paper,"14 5/8 x 16 1/8"" (37.1 x 41 cm)",1966-01-11,Gift of Henry G. Proskauer,Y,Architecture & Design,Architecture,1087.2009,,,37.1,,41,,,
79,"Earth-Cloud House, project",47,Raimund Abraham,1970,Graphite,"34 3/8 x 53 1/2"" (87.3 x 135.9 cm)",1980-01-08,Gift of Philip Johnson,Y,Architecture & Design,Architecture,19.198,,,87.3127,,135.8903,,,
81,"House IV Transformation Study, project, Falls Village, Connecticut, Multiple axonometrics","6969, 8134","Peter Eisenman, Robert Cole",1975,Ink and color ink on frosted polymer sheet,"13 3/4 x 44 5/8"" (34.9 x 113.3 cm)",1980-01-08,Gift of Philip Johnson,Y,Architecture & Design,Architecture,20.198,,,34.9251,,113.3477,,,
82,"Villa dall'Ava, Paris (Saint-Cloud), France, Exterior perspective","6956, 6957","Rem Koolhaas, Madelon Vriesendorp",1987,Synthetic polymer paint and ink on paper,"25 x 39"" (63.5 x 99.1 cm)",2000-01-19,Gift of Max Underwood,Y,Architecture & Design,Architecture,21.2,,,63.5001,,99.0602,,,
84,"Pedestrian City, Hypostyle Courtyard Project, Structural details",1863,Roger C. Ferri,1979,Ink and pastel on paper,"55 3/4"" x 43 5/8"" (141.6 x 110.8 cm)",1980-01-08,National Endowment for the Arts Project Funds,Y,Architecture & Design,Architecture,21.198,,,141.6,,110.8,,,
85,"Parc de la Villette, Le Case Vide, Paris, France, Axonometric of folly",7056,Bernard Tschumi,1984,"Pen, ink, gouache, and airbrush on paper","37 3/16 x 37 5/16"" (94.5 x 94.8 cm)",2000-01-19,Gift of the Peter Norton Family Foundation,Y,Architecture & Design,Architecture,22.2,,,94.4564,,94.7739,,,
87,"Pedestrian City, Hypostyle Courtyard, project, Developed plan and section elevations",1863,Roger C. Ferri,1979,Ink and pastel on paper,"55 3/4 x 43 5/8"" (141.6 x 110.8 cm)",1980-01-08,National Endowment for the Arts Project Funds,Y,Architecture & Design,Architecture,22.198,,,141.6053,,110.8077,,,
88,"Parc de la Villette, Paris, France, Aerial perspective of follies",7056,Bernard Tschumi,1986,"Pen, ink, and gouache on paper","27 1/4 x 39 1/4"" (69.2 x 99.7 cm)",2000-01-19,Takeo Ohbayashi Purchase Fund,Y,Architecture & Design,Architecture,23.2,,,69.2151,,99.6952,,,
90,"Pedestrian City, Hypostyle Courtyard, project, Perspective",1863,Roger C. Ferri,1979,Pastel on paper,"44 3/8 x 44 5/8"" (112.7 x 113.3 cm)",1980-01-08,National Endowment for the Arts Project Funds,Y,Architecture & Design,Architecture,23.198,,,112.7127,,113.3477,,,
92,"Fargo-Moorhead Cultural Center Bridge, project, Fargo, North Dakota and Moorhead, Minnesota, South elevation",2308,Michael Graves,1978,Graphite and crayon on yellow tracing paper,"11 7/8 x 11 7/8"" (30.2 x 30.2 cm)",1980-01-08,Lily Auchincloss Fund,Y,Architecture & Design,Architecture,24.198,,,30.2,,30.2,,,
94,"Vacation House Project, Aspen, Colorado, Elevations, interior and exterior perspectives and plan",2308,Michael Graves,1978,Ink and graphite on paper,"23 1/2 x 23 5/8"" (59.7 x 60 cm)",1980-01-08,Gift of Philip Johnson,Y,Architecture & Design,Architecture,25.198,,,59.7,,60,,,
96,"French & Company, project, New York (Manhattan), New York, Facade study",2308,Michael Graves,1978,"Graphite, ink and crayon on paper","10 7/8 x 10 3/4"" (27.6 x 27.3 cm)
",1980-01-08,Gift of Philip Johnson,Y,Architecture & Design,Architecture,26.198,,,27.6,,27.3,,,
98,"Vacation House, project, Aspen, Colorado, Fireplace",2308,Michael Graves,1978,Graphite and Prismacolor crayon on tracing paper,"8 x 8"" (20.3 x 20.3 cm)
",1980-01-08,Gift of Philip Johnson,Y,Architecture & Design,Architecture,27.198,,,20.3,,20.3,,,
100,"Regional Administrative Center, project ""Trieste e una Donna."" , Trieste, Italy, Competition design: Elevation and section","7661, 8131, 8180","Aldo Rossi, Gianni Braghieri, M. Bosshard",1974,Rubbed ink and pastel on whiteprint,"28 1/2 x 36"" (72.4 x 91.4 cm)",1980-01-08,Philip Johnson Fund,Y,Architecture & Design,Architecture,28.198,,,72.4,,91.4,,,
102,Misc. objects,7166,Ludwig Mies van der Rohe,n.d.,,,1980-01-08,"Mies van der Rohe Archive, gift of Ludwig Glaeser",N,Architecture & Design,Mies van der Rohe Archive,29.1980.1-248,,,,,,,,
107,"Villa Snellman, Djursholm, Sweden, Elevation of garden facade, sketch",27,Erik Gunnar Asplund,c. 1917,Graphite and crayon on tracing paper mounted on board,"9 1/8 x 13 3/4"" (23.2 x 34.9 cm)",1990-01-17,"Gift of Mr. and Mrs. Edward Larrabee Barnes, Roblee McCarthy, Jr., Jeffrey P. Klein Purchase Fund, and purchase",Y,Architecture & Design,Architecture,33.199,,,23.2,,34.9,,,
109,"Villa Snellman, Djursholm, Sweden, Exterior elevation",27,Erik Gunnar Asplund,1917,Ink on ozalid,"12 1/4 x 24 3/8"" (31.1 x 61.9 cm)",1990-01-17,"Gift of Mr. and Mrs. Edward Larrabee Barnes, Roblee McCarthy, Jr., Jeffrey P. Klein Purchase Fund, and purchase",Y,Architecture & Design,Architecture,34.199,,,31.1,,61.9,,,
111,"Villa Snellman, Djursholm, Sweden, Exterior elevation",27,Erik Gunnar Asplund,1917,Ink on ozalid,"12 1/2 x 24 1/4"" (31.8 x 61.6 cm)",1990-01-17,"Gift of Mr. and Mrs. Edward Larrabee Barnes, Roblee McCarthy, Jr., Jeffrey P. Klein Purchase Fund, and purchase",Y,Architecture & Design,Architecture,35.199,,,31.8,,61.6,,,
113,"Villa Snellman, Djursholm, Sweden, Site plan",27,Erik Gunnar Asplund,1917,Graphite and crayon on tracing paper mounted on board,"15 1/2 x 13 3/8"" (39.4 x 34 cm)",1990-01-17,"Gift of Mr. and Mrs. Edward Larrabee Barnes, Roblee McCarthy, Jr., Jeffrey P. Klein Purchase Fund, and purchase",Y,Architecture & Design,Architecture,36.199,,,39.4,,34,,,
115,"Villa Snellman, Djursholm, Sweden, Ground-floor plan",27,Erik Gunnar Asplund,1917,Ink on ozalid,"22 1/2 x 24 5/8"" (57.2 x 62.5 cm)",1990-01-17,"Gift of Mr. and Mrs. Edward Larrabee Barnes, Roblee McCarthy, Jr., Jeffrey P. Klein Purchase Fund, and purchase",Y,Architecture & Design,Architecture,37.199,,,57.2,,62.5,,,
117,"Villa Snellman, Djursholm, Sweden, Second-floor plan",27,Erik Gunnar Asplund,1917,Ink on ozalid,"22 1/4 x 24 1/2"" (56.5 x 62.2 cm)",1990-01-17,"Gift of Mr. and Mrs. Edward Larrabee Barnes, Roblee McCarthy, Jr., Jeffrey P. Klein Purchase Fund, and purchase",Y,Architecture & Design,Architecture,38.199,,,56.5,,62.2,,,
